iter	Passed	Remaining
0	56	56755
1	61	30525
2	63	21268
3	66	16521
4	68	13685
5	71	11803
6	74	10594
7	76	9546
8	79	8780
9	82	8128
10	84	7630
11	87	7194
12	89	6824
13	92	6508
14	94	6233
15	98	6028
16	100	5810
17	102	5615
18	106	5481
19	108	5324
20	111	5187
21	113	5065
22	116	4946
23	118	4836
24	121	4730
25	123	4632
26	126	4547
27	129	4507
28	132	4430
29	134	4358
30	137	4290
31	140	4253
32	143	4194
33	145	4142
34	148	4091
35	151	4049
36	153	4002
37	156	3955
38	158	3914
39	161	3869
40	163	3828
41	166	3787
42	168	3748
43	170	3715
44	173	3678
45	175	3642
46	178	3610
47	180	3578
48	182	3548
49	185	3522
50	187	3494
51	190	3470
52	192	3448
53	195	3421
54	197	3397
55	200	3376
56	202	3353
57	205	3334
58	207	3313
59	210	3295
60	212	3274
61	215	3254
62	217	3234
63	219	3216
64	222	3197
65	224	3178
66	227	3162
67	229	3143
68	231	3127
69	234	3111
70	236	3099
71	239	3084
72	241	3072
73	244	3060
74	247	3048
75	249	3038
76	252	3027
77	254	3013
78	257	3001
79	261	3008
80	264	3002
81	268	3001
82	271	3005
83	275	3006
84	278	3003
85	282	3001
86	285	2999
87	289	2995
88	292	2994
89	295	2989
90	299	2989
91	302	2988
92	305	2981
93	309	2984
94	312	2980
95	316	2979
96	319	2978
97	324	2987
98	328	2993
99	332	2994
100	336	2997
101	340	2999
102	344	3002
103	348	3002
104	351	2998
105	355	3000
106	359	3002
107	363	3003
108	367	3005
109	371	3004
110	374	3001
111	379	3008
112	382	3006
113	386	3007
114	390	3008
115	395	3012
116	398	3008
117	402	3011
118	406	3009
119	410	3013
120	414	3012
121	418	3010
122	420	2998
123	425	3004
124	428	2997
125	432	2998
126	435	2995
127	440	3004
128	444	2999
129	450	3018
130	456	3025
131	458	3017
132	462	3015
133	465	3008
134	469	3006
135	473	3006
136	476	3000
137	479	2995
138	482	2986
139	486	2986
140	488	2978
141	492	2977
142	495	2970
143	498	2962
144	502	2960
145	504	2951
146	508	2950
147	511	2945
148	514	2940
149	518	2939
150	521	2931
151	525	2929
152	527	2920
153	530	2916
154	534	2914
155	537	2906
156	540	2904
157	543	2895
158	546	2891
159	550	2887
160	552	2880
161	556	2879
162	559	2871
163	562	2867
164	565	2859
165	567	2851
166	570	2845
167	572	2837
168	575	2832
169	579	2829
170	582	2822
171	584	2814
172	587	2808
173	590	2801
174	592	2795
175	595	2789
176	598	2782
177	601	2775
178	604	2770
179	606	2763
180	609	2756
181	611	2749
182	614	2742
183	616	2735
184	619	2731
185	622	2724
186	625	2719
187	628	2712
188	630	2705
189	632	2698
190	635	2691
191	637	2684
192	640	2678
193	643	2673
194	646	2667
195	648	2661
196	651	2655
197	653	2648
198	656	2642
199	659	2637
200	661	2630
201	664	2623
202	666	2618
203	669	2611
204	671	2604
205	674	2601
206	677	2594
207	679	2588
208	682	2584
209	685	2577
210	687	2572
211	690	2567
212	693	2561
213	695	2556
214	698	2550
215	701	2544
216	703	2538
217	706	2534
218	709	2529
219	711	2523
220	715	2520
221	717	2515
222	720	2509
223	723	2505
224	725	2500
225	728	2496
226	731	2490
227	733	2485
228	737	2481
229	741	2481
230	744	2477
231	747	2475
232	755	2488
233	764	2501
234	769	2503
235	775	2509
236	780	2512
237	784	2510
238	788	2509
239	791	2506
240	797	2510
241	802	2514
242	809	2521
243	815	2527
244	821	2532
245	826	2531
246	832	2538
247	837	2539
248	842	2540
249	849	2549
250	855	2552
251	860	2555
252	866	2559
253	874	2567
254	878	2566
255	884	2569
256	888	2568
257	892	2565
258	895	2562
259	900	2561
260	904	2561
261	908	2559
262	912	2557
263	916	2554
264	920	2553
265	924	2551
266	929	2552
267	934	2552
268	938	2551
269	943	2551
270	948	2552
271	955	2556
272	967	2575
273	973	2578
274	982	2589
275	987	2591
276	992	2589
277	997	2590
278	1000	2586
279	1006	2586
280	1010	2584
281	1013	2579
282	1017	2578
283	1021	2574
284	1025	2573
285	1029	2569
286	1032	2565
287	1036	2563
288	1041	2562
289	1046	2563
290	1051	2561
291	1054	2556
292	1057	2552
293	1061	2549
294	1066	2549
295	1070	2545
296	1074	2543
297	1077	2537
298	1081	2534
299	1083	2528
300	1088	2527
301	1091	2522
302	1095	2519
303	1098	2515
304	1101	2510
305	1105	2507
306	1108	2502
307	1111	2498
308	1114	2492
309	1118	2489
310	1121	2484
311	1124	2479
312	1128	2475
313	1130	2470
314	1134	2466
315	1137	2461
316	1140	2457
317	1143	2452
318	1146	2447
319	1149	2443
320	1152	2438
321	1156	2435
322	1159	2429
323	1162	2424
324	1165	2420
325	1168	2415
326	1171	2411
327	1174	2406
328	1177	2402
329	1180	2397
330	1183	2392
331	1187	2389
332	1190	2384
333	1193	2379
334	1196	2375
335	1199	2370
336	1203	2367
337	1205	2362
338	1209	2357
339	1211	2352
340	1216	2351
341	1220	2347
342	1223	2344
343	1226	2339
344	1229	2335
345	1233	2332
346	1237	2329
347	1241	2326
348	1244	2320
349	1248	2318
350	1250	2312
351	1253	2307
352	1257	2304
353	1259	2298
354	1263	2294
355	1265	2289
356	1268	2284
357	1271	2280
358	1274	2275
359	1277	2271
360	1281	2268
361	1284	2263
362	1287	2259
363	1290	2254
364	1293	2250
365	1297	2247
366	1300	2242
367	1303	2238
368	1306	2233
369	1309	2229
370	1312	2224
371	1314	2219
372	1318	2216
373	1320	2211
374	1324	2207
375	1328	2204
376	1331	2200
377	1334	2195
378	1336	2189
379	1339	2185
380	1342	2181
381	1347	2179
382	1350	2175
383	1353	2171
384	1359	2172
385	1364	2170
386	1369	2169
387	1374	2167
388	1379	2166
389	1382	2162
390	1387	2161
391	1395	2164
392	1400	2162
393	1406	2163
394	1409	2158
395	1412	2154
396	1416	2151
397	1420	2148
398	1425	2147
399	1433	2149
400	1439	2149
401	1443	2148
402	1450	2149
403	1456	2148
404	1460	2145
405	1464	2142
406	1468	2139
407	1471	2135
408	1474	2130
409	1477	2126
410	1479	2120
411	1482	2116
412	1485	2111
413	1488	2106
414	1491	2102
415	1493	2097
416	1496	2092
417	1498	2087
418	1501	2081
419	1503	2076
420	1506	2071
421	1509	2067
422	1512	2063
423	1516	2060
424	1520	2057
425	1523	2052
426	1526	2049
427	1530	2045
428	1533	2041
429	1537	2037
430	1540	2033
431	1542	2028
432	1545	2023
433	1548	2019
434	1550	2013
435	1553	2008
436	1555	2003
437	1558	1999
438	1562	1996
439	1566	1993
440	1569	1989
441	1572	1985
442	1576	1981
443	1579	1978
444	1583	1974
445	1586	1970
446	1590	1967
447	1595	1966
448	1600	1963
449	1603	1960
450	1608	1958
451	1615	1958
452	1622	1958
453	1626	1955
454	1631	1953
455	1635	1951
456	1638	1947
457	1642	1943
458	1645	1939
459	1648	1935
460	1652	1932
461	1657	1929
462	1660	1926
463	1665	1923
464	1667	1919
465	1670	1914
466	1672	1909
467	1675	1904
468	1678	1900
469	1683	1898
470	1686	1893
471	1688	1888
472	1691	1884
473	1695	1881
474	1698	1877
475	1702	1874
476	1706	1871
477	1710	1867
478	1713	1863
479	1717	1860
480	1720	1856
481	1724	1853
482	1730	1851
483	1735	1850
484	1739	1847
485	1743	1844
486	1747	1841
487	1750	1836
