	NCT Number	Title	Locations	Status	Study Results	Conditions	Gender	Age	Phases	Enrollment	URL	Location_Country	Location_City_or_State	Location_Institution	Start Date	Completion Date	First Posted	Last Update Posted	Funded Bys	Study Type	Trial_Duration_Days	Trial_Duration_Months	Trial_Duration_Category	Enrollment_Category
0	NCT04372602	DUVELISIB TO COMBAT COVID-19	WASHINGTON UNIVERSITY SCHOOL OF MEDICINE, SAINT LOUIS, MISSOURI, UNITED STATES	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 2	28.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04372602	UNITED STATES OF AMERICA	MISSOURI	WASHINGTON UNIVERSITY SCHOOL OF MEDICINE	2020-10-01	2022-04-01	2020-05-01	2020-10-01	OTHER|INDUSTRY	INTERVENTIONAL	547.0	18.0	1 - 2 years	11 - 50
1	NCT04364698	OBSERVATIONAL COHORT OF COVID-19 PATIENTS AT RAYMOND-POINCARE	DEPARTMENT OF INFECTIOLOGY, RAYMOND POINCARÉ HOSPITAL, APHP, GARCHES, FRANCE	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT		500.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04364698	FRANCE	GARCHES	DEPARTMENT OF INFECTIOLOGY	2020-05-01	2020-06-01	2020-04-01	2020-05-01	OTHER	OBSERVATIONAL	31.0	1.0	1 - 3 months	201 - 500
2	NCT04482621	DECITABINE FOR CORONAVIRUS (COVID-19) PNEUMONIA- ACUTE RESPIRATORY DISTRESS SYNDROME (ARDS) TREATMENT: DART TRIAL	JOHNS HOPKINS UNIVERSITY, BALTIMORE, MARYLAND, UNITED STATES	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 2	40.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04482621	UNITED STATES OF AMERICA	MARYLAND	JOHNS HOPKINS UNIVERSITY	2020-09-01	2021-07-01	2020-07-01	2020-09-01	OTHER	INTERVENTIONAL	303.0	10.0	7 - 12 months	11 - 50
3	NCT04459637	COVID-19 SURVEILLANCE BASED ON SMART WEARABLE DEVICE	PEKING UNIVERSITY FIRST HOSPITAL, BEIJING, BEIJING, CHINA	NOT YET RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT		200.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04459637	CHINA	BEIJING	PEKING UNIVERSITY FIRST HOSPITAL	2020-07-01	2021-03-01	2020-07-01	2020-07-01	OTHER	OBSERVATIONAL	243.0	8.0	7 - 12 months	101 - 200
4	NCT04425538	A PHASE 2 TRIAL OF INFLIXIMAB IN CORONAVIRUS DISEASE 2019 (COVID-19).	TUFTS MEDICAL CENTER, BOSTON, MASSACHUSETTS, UNITED STATES	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 2	17.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04425538	UNITED STATES OF AMERICA	MASSACHUSETTS	TUFTS MEDICAL CENTER	2020-06-01	2020-12-01	2020-06-01	2020-06-01	OTHER|NIH	INTERVENTIONAL	183.0	6.0	4 - 6 months	11 - 50
5	NCT04547257	SAFETY & PERFORMANCE EVALUATION OF SERAPH 100 IN TREATMENT OF PTS WITH COVID-19	JENS SCHIRRMACHER, VAALS, LIMBURG, NETHERLANDS	NOT YET RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	NOT APPLICABLE	42.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04547257	NETHERLANDS	LIMBURG	JENS SCHIRRMACHER	2020-10-01	2021-04-01	2020-09-01	2020-09-01	INDUSTRY	INTERVENTIONAL	182.0	6.0	4 - 6 months	11 - 50
6	NCT04454307	SAFETY AND EFFICACY OF TRAMADOL IN COVID-19 EGYPTIAN PATIENTS		NOT YET RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 1|PHASE 2	100.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04454307	NAN	NAN	NAN	2020-07-01	2020-10-01	2020-07-01	2020-07-01	OTHER	INTERVENTIONAL	92.0	3.0	1 - 3 months	51 - 100
7	NCT04452435	SAFETY AND EFFICACY OF C21 IN SUBJECTS WITH COVID-19	DEPARTMENT OF MEDICINE, CIVIL HOSPITAL AND B J MEDICAL COLLEGE, AHMADABAD, GUJARAT, INDIA|INFECTIOUS DISEASE, METAS ADVENTIST HOSPITAL, SURAT, GUJARAT, INDIA|CLINICAL RESEARCH DEPARTMENT, BASEMENT, UNITY TRAUMA CENTRE AND ICU (UNITY HOSPITAL, SURAT, GUJARAT, INDIA|FIRST FLOOR CLINICAL RESEARCH DEPARTMENT RHYTHM HEART INSTITUTE, VADODARA, GUJARAT, INDIA|INTERNAL MEDICINE S.L. RAHEJA HOSPITAL, MUMBAI, MAHARASHTRA, INDIA|DEPARTMENT OF MEDICINE, GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, NAGPUR, MAHARASHTRA, INDIA|NEURO CRITICAL CARE, GRANT MEDICAL FOUNDATION RUBY HALL CLINIC, PUNE, MAHARASHTRA, INDIA|DEPARTMENT OF MEDICINE, NOBLE HOSPITALS PVT. LTD, PUNE, MAHARASHTRA, INDIA|RESPIRATORY MEDICINE, UNIVERSITY COLLEGE HOSPITAL, LONDON, UNITED KINGDOM	COMPLETED	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 2	106.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04452435	UNITED KINGDOM	LONDON	DEPARTMENT OF MEDICINE	2020-07-01	2020-10-01	2020-06-01	2020-10-01	INDUSTRY|OTHER	INTERVENTIONAL	92.0	3.0	1 - 3 months	101 - 200
8	NCT04333550	APPLICATION OF DESFERAL TO TREAT COVID-19	REGENERATIVE MEDICINE RESEARCH CENTER, KERMANSHAH UNIVERSITY OF MEDICAL SCIENCES, KERMANSHAH, IRAN, KERMANSHAH, IRAN, ISLAMIC REPUBLIC OF	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	CHILD, ADULT, OLDER ADULT	PHASE 1|PHASE 2	50.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04333550	IRAN	IRAN	REGENERATIVE MEDICINE RESEARCH CENTER	2020-04-01	2021-03-01	2020-04-01	2020-05-01	OTHER	INTERVENTIONAL	334.0	11.0	7 - 12 months	11 - 50
9	NCT04432987	DORNASE ALPHA FOR THE TREATMENT OF COVID-19	ACIBADEM ALTUNIZADE HOSPITAL, ISTANBUL, TURKEY	RECRUITING	NO RESULTS AVAILABLE	COVID-19	ALL	ADULT, OLDER ADULT	PHASE 2	60.0	HTTPS://CLINICALTRIALS.GOV/SHOW/NCT04432987	TURKEY	ISTANBUL	ACIBADEM ALTUNIZADE HOSPITAL	2020-05-01	2020-09-01	2020-06-01	2020-06-01	OTHER	INTERVENTIONAL	123.0	4.0	4 - 6 months	51 - 100
