NCT Number	Status	Study Results	Gender	Age	Phases	Location_Country	Study Type	Trial_Duration_Category	Enrollment_Category	ALLOCATION	INTERVENTION MODEL	PRIMARY PURPOSE	OBSERVATIONAL MODEL	TIME PERSPECTIVE	PARTICIPANT	CARE PROVIDER	INVESTIGATOR	OUTCOMES ASSESSOR	DRUG	PROCEDURE	OTHER INTERVENTIONS TYPE	DEVICE	BIOLOGICAL	DIAGNOSTIC TEST	DIETARY SUPPLEMENT	GENETIC	COMBINATION PRODUCT	BEHAVIORAL	RADIATION	INDUSTRY	NIH	OTHER FUND SOURCE	U.S. FED
NCT04372602	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 2	UNITED STATES OF AMERICA	INTERVENTIONAL	1 - 2 years	11 - 50	RANDOMIZED	SINGLE GROUP ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	True	True	True	False	False	False	True	True	True	True	True	True	True	True	True	True	False	True	False
NCT04364698	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	NO RECORD	FRANCE	OBSERVATIONAL	1 - 3 months	201 - 500	NO RECORD	NO RECORD	NO RECORD	COHORT	PROSPECTIVE	False	False	False	False	True	True	True	True	True	True	True	True	True	True	True	False	False	True	False
NCT04482621	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 2	UNITED STATES OF AMERICA	INTERVENTIONAL	7 - 12 months	11 - 50	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	True	False	True	False	False	True	False	True	True	True	True	True	True	True	True	False	False	True	False
NCT04459637	NOT YET RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	NO RECORD	CHINA	OBSERVATIONAL	7 - 12 months	101 - 200	NO RECORD	NO RECORD	NO RECORD	COHORT	PROSPECTIVE	False	False	False	False	True	True	True	True	True	True	True	True	True	True	True	False	False	True	False
NCT04425538	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 2	UNITED STATES OF AMERICA	INTERVENTIONAL	4 - 6 months	11 - 50	NO RECORD	SINGLE GROUP ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	False	False	False	False	False	True	True	True	True	True	True	True	True	True	True	False	True	True	False
NCT04547257	NOT YET RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	NOT APPLICABLE	NETHERLANDS	INTERVENTIONAL	4 - 6 months	11 - 50	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	False	False	False	False	True	True	True	False	True	True	True	True	True	True	True	True	False	False	False
NCT04454307	NOT YET RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 1|PHASE 2	NO RECORD	INTERVENTIONAL	1 - 3 months	51 - 100	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	True	True	False	False	False	True	False	True	True	True	True	True	True	True	True	False	False	True	False
NCT04452435	COMPLETED	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 2	UNITED KINGDOM	INTERVENTIONAL	1 - 3 months	101 - 200	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	True	True	True	False	False	True	True	True	True	True	True	True	True	True	True	True	False	True	False
NCT04333550	RECRUITING	NO RESULTS AVAILABLE	ALL	CHILD, ADULT, OLDER ADULT	PHASE 1|PHASE 2	IRAN	INTERVENTIONAL	7 - 12 months	11 - 50	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	True	False	True	False	False	True	True	True	True	True	True	True	True	True	True	False	False	True	False
NCT04432987	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 2	TURKEY	INTERVENTIONAL	4 - 6 months	51 - 100	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	False	False	False	False	False	True	True	True	True	True	True	True	True	True	True	False	False	True	False
NCT04537559	ENROLLING BY INVITATION	NO RESULTS AVAILABLE	ALL	CHILD, ADULT, OLDER ADULT	NO RECORD	SWITZERLAND	OBSERVATIONAL	7 - 12 months	over 10000	NO RECORD	NO RECORD	NO RECORD	COHORT	RETROSPECTIVE	False	False	False	False	True	True	True	True	True	True	True	True	True	True	True	False	False	True	False
NCT04336904	ACTIVE, NOT RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 3	ITALY	INTERVENTIONAL	4 - 6 months	51 - 100	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	True	True	False	False	False	True	False	True	True	True	True	True	True	True	True	False	False	True	False
NCT04568031	RECRUITING	NO RESULTS AVAILABLE	ALL	NO RECORD	PHASE 1|PHASE 2	JAPAN	INTERVENTIONAL	1 - 2 years	201 - 500	RANDOMIZED	PARALLEL ASSIGNMENT	PREVENTION	NO RECORD	NO RECORD	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	False	False	False
NCT04445272	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 2	SPAIN	INTERVENTIONAL	1 - 3 months	201 - 500	NO RECORD	SINGLE GROUP ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	False	False	False	False	False	True	True	True	True	True	True	True	True	True	True	True	False	True	False
NCT04354831	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 2	UNITED STATES OF AMERICA	INTERVENTIONAL	2 - 5 years	101 - 200	NON-RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	False	False	False	False	True	True	True	True	False	True	True	True	True	True	True	False	False	True	False
NCT04582266	NOT YET RECRUITING	NO RESULTS AVAILABLE	FEMALE	NO RECORD	NO RECORD	PUERTO RICO	OBSERVATIONAL	1 - 2 years	11 - 50	NO RECORD	NO RECORD	NO RECORD	COHORT	PROSPECTIVE	False	False	False	False	False	True	True	True	True	True	True	True	True	True	True	False	False	True	False
NCT04351802	NOT YET RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	NO RECORD	NO RECORD	OBSERVATIONAL	7 - 12 months	101 - 200	NO RECORD	NO RECORD	NO RECORD	COHORT	PROSPECTIVE	False	False	False	False	True	True	True	True	True	False	True	True	True	True	True	False	False	True	False
NCT04540393	NOT YET RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 3	RUSSIA	INTERVENTIONAL	7 - 12 months	51 - 100	NO RECORD	SINGLE GROUP ASSIGNMENT	PREVENTION	NO RECORD	NO RECORD	False	False	False	False	True	True	True	True	False	True	True	True	True	True	True	True	False	False	False
NCT04345445	NOT YET RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 3	MALAYSIA	INTERVENTIONAL	4 - 6 months	201 - 500	RANDOMIZED	CROSSOVER ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	False	False	False	False	False	True	True	True	True	True	True	True	True	True	True	False	False	True	False
NCT04359095	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 2|PHASE 3	COLOMBIA	INTERVENTIONAL	4 - 6 months	1001 - 5000	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	False	False	False	False	False	True	False	True	True	True	True	True	True	True	True	False	False	True	False
NCT04508712	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	NO RECORD	CHINA	OBSERVATIONAL	7 - 12 months	501 - 1000	NO RECORD	NO RECORD	NO RECORD	CASE-ONLY	PROSPECTIVE	False	False	False	False	True	True	True	True	True	True	True	True	True	True	True	False	False	True	False
NCT04361422	NOT YET RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT	PHASE 3	NO RECORD	INTERVENTIONAL	7 - 12 months	201 - 500	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	False	False	False	False	False	True	True	True	True	True	True	True	True	True	True	False	False	True	False
NCT04460547	NOT YET RECRUITING	NO RESULTS AVAILABLE	ALL	CHILD, ADULT, OLDER ADULT	NO RECORD	NO RECORD	OBSERVATIONAL	1 - 3 months	101 - 200	NO RECORD	NO RECORD	NO RECORD	COHORT	RETROSPECTIVE	False	False	False	False	False	True	True	True	True	True	True	True	True	True	True	False	False	True	False
NCT04355741	COMPLETED	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	NO RECORD	PORTUGAL	OBSERVATIONAL	1 - 3 months	101 - 200	NO RECORD	NO RECORD	NO RECORD	CASE-ONLY	CROSS-SECTIONAL	False	False	False	False	True	True	False	True	True	True	True	True	True	True	True	False	False	True	False
NCT04388683	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	PHASE 2	UNITED STATES OF AMERICA	INTERVENTIONAL	1 - 2 years	11 - 50	RANDOMIZED	PARALLEL ASSIGNMENT	TREATMENT	NO RECORD	NO RECORD	False	False	False	False	False	True	True	True	True	True	True	True	True	True	True	True	False	True	False
NCT04377763	RECRUITING	NO RESULTS AVAILABLE	ALL	ADULT, OLDER ADULT	NO RECORD	FRANCE	OBSERVATIONAL	4 - 6 months	201 - 500	NO RECORD	NO RECORD	NO RECORD	COHORT	RETROSPECTIVE	False	False	False	False	True	True	True	True	True	True	True	True	True	True	True	False	False	True	False
